hrhhid2,gestfips,hefaminc,hwhhwgt,helaptop,hedesktp,hetablet,hemphone,heinhome
15011,12,15,4175.7547,2,2,2,1,1
15011,12,8,4000.529,1,1,2,1,1
15011,12,13,5130.0777,2,2,2,2,2
15012,12,11,3769.4249,2,2,2,1,1
16011,12,9,3493.9165,2,1,1,2,1
15011,12,12,3153.5555,1,2,2,1,1
15011,12,13,3217.3282,1,2,2,1,1
15011,12,13,3771.9428,1,2,2,1,1
15013,12,12,3217.3282,1,2,2,1,1
16011,12,13,4483.5115,1,2,2,1,1
16011,12,14,4246.6111,1,2,2,1,1
16011,12,12,4138.6841,2,2,2,1,1
16011,12,4,4369.5637,2,2,2,2,2
16011,12,13,4712.9659,1,2,2,1,1
16011,12,9,5852.6484,1,1,1,1,1
16011,12,9,4044.3915,2,1,1,2,1
15011,12,10,5119.7758,1,2,2,1,2
15011,12,9,4356.3639,2,2,2,1,1
15011,12,15,4249.9565,1,1,2,1,1
15012,12,8,4169.6392,1,1,1,1,1
15011,12,8,4449.7207,2,2,2,1,1
15011,12,12,6080.6752,1,1,2,2,1
15011,12,16,6566.0314,1,1,1,1,1
15011,12,5,4498.5082,1,2,2,1,1
15012,12,14,6091.7341,1,1,1,1,1
15011,12,7,5116.7243,2,2,2,2,2
15011,12,14,4425.3773,2,2,2,2,2
16011,12,5,4393.4703,1,2,1,1,1
16011,12,13,6197.7218,1,1,2,1,1
16011,12,14,5319.9318,1,1,1,1,1
16011,12,12,6552.7123,2,2,2,1,1
16011,12,14,3906.9961,1,2,2,1,1
16011,12,1,4378.7498,2,2,1,1,1
15011,12,10,4466.2441,1,1,2,1,1
16011,12,14,5526.18,1,2,2,1,1
16011,12,13,4437.1678,2,2,2,1,1
15011,12,15,3823.6329,2,2,2,2,2
15012,12,9,4427.5778,2,2,2,2,2
16011,12,11,4023.8241,1,2,2,1,2
16011,12,11,4023.8241,2,2,2,2,2
16011,12,11,4916.026,1,2,2,1,1
16011,12,8,4373.2947,2,2,2,1,2
16011,12,9,4360.5053,2,2,2,1,1
16011,12,9,4075.9979,2,2,2,1,1
16011,12,7,7885.0994,2,2,2,1,1
16011,12,7,3429.6754,1,2,2,1,1
16011,12,12,3708.6477,1,2,1,1,1
15011,12,8,5793.8358,2,2,2,1,1
16011,12,14,5401.8615,1,2,2,1,1
16011,12,11,5014.75,1,2,1,1,1
16011,12,9,5788.1646,2,1,2,1,1
15011,12,8,5006.2173,2,2,2,2,2
15011,12,4,5823.857,2,2,2,1,1
16011,12,16,6035.6739,1,2,2,1,1
16011,12,7,4268.3701,1,2,1,2,1
