hrhhid2,gestfips,prtage,pesex,peeduca,hefaminc,pemlr,ptdtrace,pwprmwgt,pelaptop,pemphone,peinhome,peemail,pefinanc,peegovts,peedtrai
16011,10,72,2,39,14,5,1,1047.4455,1,1,1,1,2,2,2
16011,10,71,2,40,10,4,1,985.1617,1,1,1,1,1,1,2
16011,10,74,1,40,15,5,2,1455.9919,2,1,1,1,1,1,2
16011,10,44,1,45,16,1,1,1895.1629,1,1,1,1,1,2,1
16011,10,22,1,43,13,1,1,4214.4624,2,1,1,1,2,2,2
16011,10,19,2,40,13,1,2,2034.3368,1,1,1,1,1,1,1
16011,10,80,1,44,13,5,1,1037.0344,2,1,1,1,2,2,2
16011,10,26,1,43,16,1,1,1997.6203,1,1,1,1,2,2,2
16011,10,80,2,38,12,5,2,1018.379,2,1,1,1,1,2,2
16011,10,42,2,39,10,1,2,1092.0757,2,1,1,1,1,2,1
16011,10,71,2,41,9,5,2,1120.3212,1,1,1,2,1,2,2
16011,10,38,2,39,4,7,2,1206.5275,1,2,1,1,2,2,2
15011,10,85,2,40,15,5,1,1057.3615,1,1,1,1,2,2,2
15011,10,77,1,42,13,5,1,1202.4871,1,1,1,1,1,2,2
15011,10,24,2,43,13,1,1,3541.7282,1,1,1,1,1,2,2
16011,10,67,2,40,16,5,1,1045.5815,1,1,1,1,1,1,2
16011,10,67,2,41,14,5,1,1045.5815,1,1,1,1,1,2,2
16011,10,71,1,43,16,5,1,1016.4713,1,1,1,1,1,2,2
16011,10,76,1,39,16,5,1,993.3649,1,1,1,1,1,1,2
16011,10,74,2,36,6,5,2,1178.3346,2,1,1,2,2,2,2
16011,10,85,1,40,10,5,1,1037.0344,1,1,1,1,1,2,2
16011,10,27,1,46,9,1,2,1532.539,1,1,1,1,1,1,1
16011,10,77,2,38,6,5,1,1037.853,2,1,1,1,1,2,2
15011,11,31,2,44,16,1,1,759.0938,1,1,1,1,1,1,1
15011,11,31,2,45,16,1,1,759.0938,1,1,1,1,1,2,2
15011,11,36,2,43,15,1,1,665.2734,1,1,1,1,1,1,1
15011,11,32,2,43,15,1,1,759.0938,1,1,1,1,1,1,2
15011,11,67,2,39,8,5,2,714.9226,1,1,1,1,2,2,2
15012,11,53,1,44,16,1,1,1236.9568,1,1,1,1,1,1,2
15011,11,33,2,43,14,1,2,1649.6964,1,1,1,1,1,1,1
15011,11,58,1,39,15,1,2,1315.0603,2,1,1,2,2,2,2
15011,11,73,1,44,16,5,1,993.8945,1,1,1,1,1,2,2
15011,11,29,2,43,16,1,1,883.2118,1,1,1,1,1,1,1
15011,11,67,2,40,1,6,1,459.1282,1,1,1,1,2,2,2
15011,11,70,2,40,11,5,1,444.5829,1,1,1,1,2,2,2
16011,11,30,1,44,14,1,1,768.5372,1,1,1,1,1,2,1
16011,11,36,2,45,16,1,1,727.2135,1,1,1,1,1,2,2
16011,11,53,1,44,16,1,4,855.1069,1,1,1,1,1,1,1
16011,11,29,1,43,14,1,1,890.0468,1,1,1,1,1,2,2
16011,11,42,1,45,16,1,1,795.1918,1,1,1,1,1,2,2
16011,11,25,2,43,15,1,1,780.9792,1,1,1,1,1,1,2
16011,11,49,1,46,16,1,1,1023.6228,1,1,1,1,1,1,1
16011,11,71,2,40,12,5,2,696.7022,1,2,1,1,1,1,2
16011,11,26,2,45,13,1,1,1049.4365,1,1,1,1,1,1,2
16011,11,48,1,46,16,1,1,721.0011,1,1,1,1,1,2,2
16011,11,53,2,44,16,1,1,716.1578,1,1,1,1,1,1,2
16011,11,34,2,43,16,1,1,741.1069,2,1,2,1,1,2,2
16011,11,51,1,44,15,2,2,1445.1351,1,1,1,1,1,1,2
16011,11,46,1,40,12,1,2,994.9853,1,1,1,1,2,2,2
16011,11,25,2,43,12,1,4,580.1769,1,1,1,1,1,1,1
16011,11,85,2,43,9,5,1,442.8259,1,1,1,1,2,1,2
16011,11,32,2,44,16,1,1,825.3597,1,1,1,1,1,2,1
16011,11,33,2,44,16,1,1,715.2935,1,1,1,1,1,2,1
16011,11,24,2,39,2,1,1,1467.108,1,1,2,1,1,2,2
16011,11,63,2,44,14,1,2,609.5219,1,1,1,1,1,1,1
16011,11,68,2,39,3,1,2,696.7022,1,1,1,2,2,2,2
16011,11,38,2,39,13,1,2,1828.1969,1,1,1,1,1,2,1
15011,12,55,1,40,15,1,1,9567.4878,2,1,1,1,2,2,2
15011,12,73,1,43,8,5,1,6332.0361,1,1,1,1,2,2,2
15012,12,51,1,37,11,1,1,9152.2863,2,1,1,1,1,1,2
16011,12,85,1,39,9,5,1,5530.17,2,2,1,1,2,2,2
15011,12,71,2,42,12,5,1,4758.3497,1,1,1,1,2,2,2
15011,12,80,2,43,13,5,1,4854.5754,1,1,1,1,2,2,2
15011,12,71,1,43,13,5,1,5970.2299,1,1,1,1,2,2,2
15013,12,76,2,40,12,5,1,4854.5754,1,1,1,1,2,2,2
16011,12,39,1,40,13,1,1,8235.7835,1,1,1,1,1,1,2
16011,12,58,2,39,14,6,1,7983.3533,1,1,1,1,1,2,2
16011,12,20,1,39,12,4,1,17118.1539,2,1,1,1,2,2,2
16011,12,57,1,40,13,5,4,8265.9112,1,1,1,1,2,2,2
16011,12,59,2,42,9,5,2,9403.5895,1,1,1,1,2,2,2
16011,12,67,1,39,9,5,1,5760.4754,2,2,1,1,1,2,2
15011,12,78,1,39,9,5,1,6895.2515,2,1,1,1,2,2,2
15011,12,63,2,43,15,7,1,7674.8539,1,1,1,1,1,1,2
15012,12,54,2,39,8,1,1,9179.1226,2,1,1,1,1,2,2
15011,12,53,2,39,8,7,4,9626.1006,2,1,1,1,2,2,2
15011,12,61,1,40,12,1,1,9636.8182,1,2,1,2,2,2,2
15011,12,40,2,44,16,1,2,10931.9208,1,1,1,1,1,2,2
15011,12,65,1,39,5,5,2,7407.695,1,1,1,1,1,1,2
15012,12,38,2,43,14,1,2,10142.2535,1,1,1,1,1,1,2
16011,12,66,2,39,5,5,2,6303.8122,1,1,1,1,1,2,2
16011,12,57,2,43,13,1,2,9958.0272,1,1,1,1,1,1,2
16011,12,71,2,44,14,1,1,8027.1605,1,1,1,1,1,2,2
16011,12,50,1,38,12,1,1,14784.3551,2,1,1,1,1,2,1
16011,12,85,1,45,14,5,1,6183.9922,1,1,1,1,1,2,2
16011,12,85,1,39,1,5,1,7441.8439,2,1,1,1,1,2,2
15011,12,57,2,40,10,1,1,8065.4405,1,1,1,1,1,2,2
16011,12,25,1,39,14,1,1,10120.7792,1,2,2,1,1,2,1
16011,12,53,2,39,13,1,1,9393.6228,2,1,1,1,2,2,2
16011,12,60,1,38,11,1,1,9812.7731,1,1,1,1,2,2,2
16011,12,41,2,39,9,7,2,7259.895,2,1,1,2,2,2,2
16011,12,67,2,37,9,5,1,8312.5906,2,1,1,1,1,2,2
16011,12,24,2,39,7,7,2,22181.388,2,1,1,1,2,2,2
16011,12,19,2,39,7,7,1,13420.9121,1,1,1,2,2,2,2
16011,12,45,2,43,12,1,1,8164.2872,1,1,1,1,1,2,2
15011,12,63,2,39,8,5,4,10842.3438,2,1,1,1,1,2,2
16011,12,33,2,46,14,1,1,10344.6183,1,1,1,1,1,2,2
16011,12,47,2,40,11,1,1,10616.3824,1,1,1,1,1,2,2
16011,12,35,1,43,9,1,1,10632.307,2,1,1,1,1,1,2
15011,12,49,1,40,8,1,1,9873.4664,2,2,2,1,1,1,2
15011,12,36,1,39,4,1,2,10141.3612,2,1,1,2,2,2,2
16011,12,28,1,39,16,1,1,11053.8786,1,1,1,1,1,1,2
16011,12,64,1,39,7,7,1,7437.5774,1,2,1,1,2,2,2
15011,12,68,2,43,15,5,1,5084.5326,1,1,1,1,1,1,2
16011,12,85,2,38,12,5,1,4688.1393,2,1,1,1,2,2,2
15011,12,37,2,32,5,3,1,9749.3685,2,1,1,2,2,2,2
15011,12,48,2,39,8,1,1,7450.1361,2,1,1,1,1,2,2
15011,12,79,1,40,12,5,2,8002.1841,2,1,2,1,2,2,2
15011,12,50,1,44,11,1,1,7980.1973,1,1,1,1,1,2,2
15012,12,54,1,43,16,1,1,8834.1525,1,1,1,1,1,2,2
15011,12,45,2,43,13,1,1,9510.3659,1,1,1,1,1,1,2
15011,12,33,2,43,13,1,1,8415.7461,1,1,1,1,1,1,2
15011,12,85,2,41,13,2,1,5789.7807,1,1,1,1,2,1,1
16011,12,33,2,44,13,1,2,12293.3357,1,1,1,1,1,2,2
16011,12,31,1,38,8,1,1,8713.6889,1,1,1,1,1,2,2
16011,12,68,2,42,9,5,1,5002.551,1,1,1,1,1,2,2
16011,12,76,2,40,15,5,1,5696.4278,2,1,1,1,2,2,2
16011,12,17,1,36,16,1,8,21478.0652,1,1,1,1,1,2,1
16011,12,55,2,44,15,1,1,7636.8439,1,1,1,1,1,1,2
16011,12,50,1,43,15,1,1,8522.0915,1,1,1,1,1,1,1
16011,12,59,1,46,13,1,1,6443.4458,1,1,1,1,1,1,2
16011,12,72,1,44,15,1,1,6847.4986,1,1,1,1,1,1,1
16011,12,22,1,40,12,7,1,18840.235,1,1,1,1,1,1,1
15011,12,25,1,39,15,1,2,10533.1223,1,1,1,1,1,2,2
15011,12,75,2,41,8,5,1,5254.9917,1,1,1,1,2,2,2
15011,12,73,2,39,8,5,1,5081.2876,2,2,1,1,1,2,2
15011,12,28,1,40,11,1,1,10459.8223,1,1,1,1,1,1,2
15011,12,64,2,40,16,5,1,7105.8512,1,1,1,1,2,2,2
16011,12,68,2,40,16,5,1,5442.5217,1,2,1,1,2,2,2
16011,12,65,1,43,15,5,1,7144.2273,1,1,1,1,1,1,2
16011,12,76,2,44,15,5,1,6751.0803,1,1,1,1,1,1,2
16011,12,80,2,39,10,5,1,5100.4577,1,1,1,1,1,2,2
16011,12,69,2,43,8,5,1,5162.9211,2,1,1,1,1,1,2
15011,12,53,1,40,16,1,1,8086.218,1,1,1,1,1,1,1
15011,12,80,2,43,15,5,1,4854.5754,1,1,1,1,1,2,2
15011,12,80,2,44,13,5,1,4854.5754,2,1,1,1,1,2,2
16011,12,70,1,39,11,5,1,5329.0656,1,1,1,1,1,2,2
16011,12,69,2,43,11,1,1,5096.6259,1,1,1,1,1,1,1
15011,12,57,2,33,14,1,1,7900.4242,1,1,1,1,1,2,1
15011,12,18,1,37,16,7,1,16330.255,1,1,1,1,2,1,2
15011,12,72,2,46,15,1,1,5046.7138,1,1,1,1,1,1,2
15011,12,58,1,41,4,5,1,8218.2943,2,1,1,1,1,2,2
15011,12,53,2,39,15,1,1,10408.7543,1,1,1,1,1,2,2
16011,12,70,2,43,13,5,1,5251.6512,1,1,1,1,1,1,1
16011,12,74,1,45,15,5,1,5114.4652,1,1,1,1,1,1,1
16011,12,19,2,40,14,4,1,13959.4439,2,1,1,1,1,1,1
15011,12,72,2,43,16,5,1,5152.1246,2,1,1,1,1,1,2
16011,12,60,1,39,14,5,1,8434.4501,2,1,1,1,1,2,2
16011,12,72,2,39,12,5,1,6959.7001,1,1,1,1,1,1,2
16011,12,65,2,39,6,5,1,6369.0973,1,1,1,1,1,1,2
15011,12,78,2,41,12,5,1,5651.3786,1,1,1,1,1,1,1
15011,12,74,1,39,11,5,1,6679.8916,2,1,1,2,2,2,2
15011,12,75,1,39,8,5,1,5505.7985,2,1,1,2,2,2,2
15011,12,65,1,43,11,5,1,6829.9271,1,1,1,1,1,2,2
15011,12,64,1,40,13,5,1,7417.7069,1,1,1,1,1,2,2
15011,12,66,1,39,13,1,1,6262.7096,2,1,2,1,2,2,2
15011,12,54,1,39,12,1,1,8358.2923,2,1,2,1,2,2,2
16011,12,76,2,39,12,1,1,5065.7535,1,2,1,1,2,2,2
16011,12,67,2,43,16,5,2,5891.6199,1,1,1,1,1,2,2
15011,12,55,2,44,14,1,1,9277.8362,1,1,1,1,2,1,2
16011,12,15,1,36,16,7,1,18967.4574,1,1,1,1,1,1,2
15011,12,60,2,41,12,1,1,9188.0696,2,1,1,1,1,2,2
15011,12,56,2,43,14,1,1,10089.4106,2,1,1,1,1,2,2
15011,12,64,1,43,15,1,1,8066.5673,1,2,1,1,1,2,2
15011,12,52,1,43,12,1,1,15026.6405,1,1,1,1,1,2,1
15011,12,71,2,43,14,1,2,17385.3941,1,1,1,1,1,2,2
15011,12,69,2,34,9,6,1,8412.4558,1,1,1,1,1,2,2
15011,12,74,1,35,6,5,1,7649.7196,2,1,1,2,1,2,2
15011,12,67,1,36,8,5,1,10140.9897,1,1,1,1,2,1,2
15011,12,27,2,43,16,7,1,10247.4121,1,1,1,1,1,2,2
15011,12,58,1,44,9,6,1,10404.3993,1,1,1,1,1,2,2
15011,12,62,2,40,13,7,1,9525.7722,1,1,1,1,1,2,2
15011,12,51,1,39,13,1,1,13248.6963,1,2,1,1,2,2,2
15011,12,49,2,39,13,1,2,9083.197,1,1,1,1,2,2,2
15011,12,56,2,35,13,5,1,11522.5339,1,1,1,1,2,2,2
15011,12,66,2,44,12,1,1,9945.8175,1,1,1,1,2,2,2
15011,12,80,2,39,9,5,1,9894.2874,2,1,1,2,2,2,2
15011,12,38,1,39,11,1,1,10182.4245,1,1,1,1,1,2,2
15011,12,62,2,44,10,1,1,11079.2667,1,1,1,1,1,2,2
16011,12,63,2,43,10,5,1,9074.5988,1,2,1,2,1,2,2
16011,12,31,1,43,14,1,1,12025.6554,2,1,1,1,1,2,2
16011,12,30,2,44,14,1,1,10511.2545,1,1,1,1,1,1,1
16011,12,72,1,39,1,5,1,7526.3777,2,1,1,1,2,2,2
16011,12,37,1,43,2,4,1,9365.3404,2,2,2,1,2,2,2
16011,12,65,1,35,9,1,1,7559.7317,2,1,1,2,2,2,2
16011,12,60,1,44,7,1,1,11002.8101,2,2,1,1,1,2,2
16011,12,16,1,36,12,7,1,21336.9505,1,1,1,1,2,2,1
16011,12,42,2,45,10,1,1,10196.7907,1,1,1,1,1,2,1
16011,12,23,2,39,13,2,1,15024.3941,2,1,2,1,1,1,2
16011,12,67,2,44,12,1,1,6351.061,1,1,1,1,1,2,2
15011,12,69,1,46,14,5,1,6093.3347,1,1,1,1,1,1,1
15011,12,79,1,44,14,5,1,7399.6951,1,1,1,2,2,2,2
16011,12,55,1,40,10,1,1,9753.6471,1,2,1,1,1,2,2
16011,12,29,1,39,8,1,1,8591.3255,1,1,1,1,1,2,2
16011,12,80,1,43,16,1,2,6747.9145,2,1,1,1,1,2,2
16011,12,49,1,42,11,7,6,21999.383,1,1,1,1,1,1,1
16011,12,64,1,42,16,5,1,7488.5303,1,1,1,1,1,2,2
16011,12,77,2,36,15,1,2,7250.5185,2,1,1,2,2,2,2
15011,12,80,2,46,4,5,1,5675.7863,1,1,1,1,1,2,2
15011,12,78,2,43,11,5,1,6451.5271,1,1,1,1,1,2,2
15011,12,85,1,39,4,5,1,6285.3353,1,1,1,1,2,2,2
15011,12,64,1,42,16,2,1,8845.0198,1,1,1,1,1,1,2
15011,12,78,1,45,11,5,1,6357.1873,2,1,1,1,1,2,2
15011,12,80,2,39,14,5,1,5599.1572,1,1,1,1,2,2,2
15011,12,20,2,38,9,1,1,14546.7994,2,1,2,1,1,1,2
15012,12,23,2,41,3,1,2,32827.3019,2,1,1,1,1,2,2
15011,12,45,2,40,12,1,1,8839.3272,1,1,1,1,1,2,1
15012,12,44,2,40,12,1,1,8962.2592,1,1,1,1,1,2,1
15011,12,46,2,44,6,1,1,8754.4092,1,1,1,1,1,2,1
15012,12,37,1,40,3,7,1,12064.8458,2,1,1,1,1,2,2
15011,12,32,2,43,14,1,1,11215.0987,1,1,1,1,1,2,2
16011,12,61,2,39,8,6,1,7587.2261,2,1,1,1,1,2,2
16011,12,19,2,40,14,1,1,15798.8913,1,1,1,1,1,2,2
16011,12,59,1,39,8,1,1,7571.4808,2,1,1,2,2,2,2
16011,12,28,2,43,14,1,2,13535.2186,1,1,1,1,1,1,2
16011,12,80,2,43,15,5,1,5508.8779,2,1,1,1,1,1,2
15012,12,63,1,42,7,5,1,7527.2471,1,1,1,1,1,2,2
15011,12,85,1,37,8,5,1,5589.8279,2,1,1,1,1,2,2
15011,12,69,1,39,11,5,1,5795.8712,2,1,1,1,1,2,2
16011,12,52,1,39,8,5,1,8162.9824,2,1,1,1,1,1,2
16011,12,69,1,39,5,1,2,7873.1591,2,1,1,1,1,1,2
16011,12,53,1,44,14,1,2,8247.0212,1,1,1,1,1,1,2
16011,12,85,1,40,7,5,1,5499.699,1,1,1,1,1,2,2
16011,12,15,2,35,6,7,1,15272.5105,1,1,1,2,2,2,2
16011,12,42,2,42,16,1,2,9153.2289,1,1,1,1,1,1,2
15011,12,47,1,43,16,1,1,8870.379,1,1,1,1,1,2,2
15011,12,55,2,40,15,1,1,7761.9962,1,1,1,1,1,1,2
15011,12,62,1,46,8,5,1,6959.0632,1,1,1,1,1,2,2
15011,12,63,1,40,8,5,1,7527.2471,1,1,1,2,1,1,2
15011,12,43,2,40,8,1,1,8580.5741,2,1,1,1,1,1,1
15012,12,52,1,40,3,4,2,15250.2878,2,2,2,2,2,2,2
15011,12,55,1,39,9,6,2,9047.5523,2,1,1,1,2,2,2
16011,12,60,1,43,15,1,1,7686.3912,1,1,1,1,1,1,2
16011,12,77,1,44,14,5,1,5322.8332,1,1,1,1,2,2,2
16011,12,43,2,39,1,7,1,8639.0935,1,1,1,1,1,1,2
16011,12,68,2,40,16,1,1,5253.3715,2,1,1,1,1,2,2
16011,12,63,1,41,6,5,1,8198.3777,2,1,1,1,1,1,2
15011,12,37,2,43,15,1,1,8021.3293,1,1,1,1,1,1,1
15011,12,35,2,39,1,1,1,10858.4998,1,1,1,1,1,2,2
15011,12,53,1,39,14,5,1,8302.5391,1,1,1,1,1,1,2
15011,12,77,1,42,11,5,1,5694.9466,1,1,1,1,1,1,2
15011,12,72,2,38,6,5,1,7289.7101,2,1,1,2,2,2,2
15011,12,16,1,36,4,7,2,34244.3961,1,1,1,2,1,2,2
16011,12,71,2,43,5,2,1,6959.7001,1,1,1,1,2,2,2
16011,12,72,2,42,11,5,1,6959.7001,1,1,1,1,1,1,2
16011,12,68,1,39,11,1,1,6501.0641,1,1,1,1,1,1,2
16011,12,40,1,40,11,6,1,7996.4404,1,1,1,1,1,1,2
16011,12,68,2,31,13,5,1,5947.4234,2,2,1,2,2,2,2
