hrhhid2,gestfips,prtage,pesex,peeduca,hefaminc,pemlr,ptdtrace,pwsswgt,pwprmwgt,pelaptop,pedesktp,petablet,pemphone,peinhome
16011,1,3,2,-1,9,-1,2,3913.3853,0,2,2,2,2,1
16011,1,59,2,37,3,6,2,2118.7476,0,2,2,2,2,2
15011,1,85,2,39,7,5,1,1483.0477,0,2,2,2,1,2
16011,1,52,1,39,13,1,1,2395.2178,4496.4532,1,2,2,1,1
16011,1,48,2,39,13,6,1,2006.3679,0,1,2,1,1,1
16011,1,27,2,39,13,1,1,1869.4515,0,1,2,2,1,1
16011,1,67,2,37,7,5,1,1503.3997,0,2,2,2,1,2
16011,1,16,1,34,7,7,1,2280.6057,7439.8779,1,2,2,1,1
16011,1,34,1,37,7,4,1,2448.0441,0,2,2,2,1,2
15011,1,69,1,43,16,5,2,1963.7889,3233.7719,1,2,2,1,2
15011,1,52,2,44,16,5,2,2708.8922,0,1,1,1,1,1
15011,1,16,1,40,16,7,2,4581.6401,0,1,1,2,2,1
15011,1,62,1,43,13,1,1,2425.4647,0,1,1,1,1,1
15011,1,50,2,41,13,1,1,2748.5978,5818.8674,2,2,1,1,1
15011,1,17,1,38,13,7,1,2859.2217,0,1,2,2,1,1
15011,1,62,1,43,14,1,1,2425.4647,4226.3396,1,1,2,1,1
15012,1,45,2,44,15,1,2,2366.7538,0,1,2,1,1,1
15012,1,15,2,36,15,7,2,2771.422,7796.2221,1,2,1,1,1
15012,1,53,1,43,15,1,2,3598.4241,0,1,2,2,1,1
16011,1,69,1,43,2,5,1,2098.6654,3321.767,1,2,2,1,1
16011,1,66,2,43,2,5,1,2546.2726,0,1,1,1,2,1
16011,1,46,2,43,15,1,1,2627.7396,5563.0068,1,1,1,1,1
15011,9,50,1,31,9,4,1,2353.3203,0,2,2,2,2,2
15011,9,28,1,39,9,4,1,3132.175,0,2,2,2,2,2
15011,9,24,1,39,9,4,1,3196.4353,0,2,2,2,2,2
15011,9,40,1,42,9,4,1,3657.8766,0,2,2,2,2,2
15011,9,36,2,33,9,4,1,2529.3677,0,2,2,2,2,2
15011,9,37,2,33,9,4,1,2529.3677,0,2,2,2,2,2
15011,9,44,2,38,1,1,1,3019.3119,0,2,2,2,1,1
15011,9,19,2,35,1,4,1,3602.6876,11815.0888,1,2,2,2,1
15011,9,10,2,-1,1,-1,1,2839.6483,0,2,2,1,2,1
15011,9,7,1,-1,1,-1,1,2226.7427,0,2,2,1,2,1
16011,9,30,2,45,16,1,4,2754.7629,0,2,2,2,2,2
16011,9,30,1,44,16,1,1,3201.3191,0,2,2,2,2,2
16011,9,48,1,44,16,1,1,2936.9782,5513.4798,1,1,2,1,1
16011,9,47,2,39,12,1,1,2621.5087,0,2,2,2,1,1
16011,9,22,1,39,12,1,1,2885.6615,10245.8383,2,2,2,1,1
16011,9,10,2,-1,12,-1,1,2793.8681,0,2,2,2,1,1
16011,9,75,1,45,16,1,1,2181.5634,0,2,2,1,1,1
16011,9,71,2,40,16,5,1,2020.6708,3048.958,2,2,1,1,1
